,preprocess_texts
1630,بسم‌الله الرحمن الرحیمشرایط سخت تصمیم‌های شجاعانه می‌خواهدمثل برجام ۲۰ دقیقه‌ای / / در ضمن همیشه نام خدا بالاتر از متن
1631,این تبلیغ رو اگر علی مصفا بازی می‌کرد یخچال رو میذاشت تو اتاق‌خواب وقتی هم اسمشو می‌پرسید جواب نمی‌داد تمسخرآمیز لبخند می
1632,واقعا چطور دلتون میاد عشق پاک این جونا رو مسخره کنید
1633,خوبه عیول جنبت بالاس
1634,بک یا چی
1635,اینقدر که همه احساس تکلیف کردن و اومدن برای ثبت‌نام فقط مونده هاشمی رفسنجانی هم احساس تکلیف کنه و پاشه بیاد ثبت‌نام
1636,آبی
1637,هرچی راحت باشین بپرسین
1638,لیلا پاشو من یه یخچالم باهات حرف دارم
1639,مردم خراسان جنوبی ولایی و وفاداری خود را با حضور حداکثری در انتخابات به نمایش گذاشته‌اند و معیار انتخاب من فردی است که فرزند
1640,پیشینه آخوند رئیسی رئیسی آخوند دون‌پایه‌ای که قساوت و جلادی نردبان ترقی او در حاکمیت ولایت‌فقیه شد رئیسی جلاد ۶۷
1641,جین ناراحت نمیشه ببینه ترند نشدهنمیدونمیجوریهعذاب وجدان دارم ترند نمیشهwe love you jinyou ae pefec jin
1642,وقتشه نجیب‌زاده‌های ایرانیو تربیت شدگان علوم اسلامییه تو دهنی به وصله‌های ناجور انگلیس بزنن برای مردم
1643,من خواهر و برادر دارم رو مخن دوتاشوناعصابت آرومه به هر حال
1644,ناامید شو نمیکننهعیی
1645,۳ ️⃣یعنی رای‌های منو حساب میشهi voe fo bbmasopsocial
1646,ولی الان بالاترین تضمین شغلی مال آیت‌الله رئیسیه فک کن یا میشه رئیس قوه مجریه یا همون رئیس قوه قضائیه می‌مونه حسن روحانی‌ی
1647,خودمون طبیعتا منظورش اصلاح طلبا نیستجمع کاملشونهچه اصول‌گرا چه اصلاح‌طلب که جفتشون سر و ته یه کرباسن
1648,afe plخوب خواب کردن چه میشه که باهم خواب بکنیم
1649,پس من باید چی بگم
1650,کسی که تونسته با یه قرارگاه اولین بندر پتروشیمی رو توی دوره تحریم‌ها راه بندازه اگر رئیس‌جمهور بشه چی می‌شه رستم قاسم
1651,برای کمک هم درمناظرات
1652,بعد از هر کامبک اکسو بر کیپاپ چه می‌گذرد exo
1653,وقتی از جوجه فوک حرف می‌زنیم از چی حرف می‌زنیم
1654,مردم ایران یادتان می‌آید قیمت دلار و سکه و مسکن و خودرو و چقدر کم بودما به آن‌ها ارزش دادیمامروز ارزش هر یک از ا
1655,داداش کی گفته سازمانیا پول میگیرنتعریف سازمانی چیه اصلا میدونی
1656,اینکه بیلی پورتر قراره فرشته‌ی سیندرلا باشه هیچ جوره تو کونم نمیره ||||||||||||||||
1657,دکتر حسین دهقانگاهی تهدید می‌کنند اما آنها حتی جرأت شلیک یک گلوله به سمت ایران عزیز را ندارند دکترین ما دفاعی است اما مبت
1658,تویی که اینارو میدونی از همه ما بدتریتو منو نمی‌شناسی من اینجوری نیستم
1659,اگر اقتصاد ما از ارزش‌های انقلابی برخوردار بود امروز شاهد فساد نبودیم زیرا فساد معلول از میان رفتن ارزش هاست؛ پس با ا
1660,خلاصه به‌دستم رسید
1661,انتظار هر رفتاری از جنابعالی داریمفشار عصبی و روانی به هر کسی میتونه بیادحالا شما برداشتت اینه که این حرف بدیه خب مشکل خودته️
1662,هرچی راحت باشین بپرسین
1663,بچه‌ها من یه جفت عینک سه‌بعدی سونی دارم که استفاده نکردم اصلا و ب کارمم نمیان اگ کسی به کارش میاد یا کسیو میشناسین که میخوا
1664,سلام؛ من مدت کوتاهیه که مونببه شدم و دلم میخواد مونببه‌های بیشتری توی تی الم داشته باشمخوشحال میشم منو به عنوان یه ن
1665,طرح و برنامهکشیدن نقشه راهکابینه قوی متشکل از نخبگان و اینها همه برای یک دولت خوب است اما مهم‌تر از همه اقدام و عملگرایی د
1666,برداشت ما این است که فرزندان این سرزمین استعداد لازم را برای کسب موفقیت‌ها دارند آقا محسن ایران اقدام و تحول محسن رضایی
1667,به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت‌نام فرمودند علی برکت الله
1668,جواد ظریف در پاسخ به برافراشته شدن پرچم اسقاطیل برفراز دفتر صدراعظم اتریش سفرخود به اتریش را لغو کرداحسنت اقای ظریف
1669,نمونه بارز یک سم
1670,ها منم یعنی از وقتی جوین دادم توییتر پشمام ریخته که واقعا ما با انقدر احمق یه جا زندگی می‌کنیم ما کلا
1671,خود جناب دکتر محمد از آقای جلیلی خواستن بیاد
1672,راه‌حل بی عملی و فقدان اراده در رفع مشکلات جایگزینی این رویه با طرح و برنامه برآمده از دولت اقدام است اقدام و تحول آقامحس
1673,صد و ده تومن پول دارم کجا ببرم سرمایه گذاری کنم
1674,mسلام بر ابراهیم بت‌شکن بت‌های فاسد اقتصادی پیش به سوی مشارکت حداکثری و انتخابی قوی برای نجات ایران از لجنزار اصلاحات
1675,یه بار دیگه چنل چالش رو چک کنین بنرای جدید اضافه شدناگر کسی جا موند الان بگین بذارمش هنوز وقت هست ❁ ex
1676,محسن رضایی هم در انتخابات ریاست‌جمهوری ثبت‌نام کرد
1677,تنها سیاستمدار باشعور از نظر شاش فرهاد
1678,تلاش برای شاد بودن خودش افسرده‌ت میکنه
1679,خدالعنتت نکنه ملعون
1680,بی‌صبرانه منتظر ۹۲ ٪ بقیه‌اش هستیم
1681,عوضش هنوز اینترنت غزه رو قطع نکردن فلسطینیدن
1682,من نظر کلی نمیتونم بدم در مورد تجربه خودم میگم مال من داره میشه ۱۱ سال و هنوز شور و هیجان داره ۶ ۷ سا
1683,رئیس‌جمهور باید تقویت‌کننده ارتباطات بین فرهنگی و سازگاری اجتماعی شود اللهم عجل لولیک الفرج رئیسی متشکریم
1684,بای ذنب قتلت ملاک الطنانی
1685,این گامگام ساختن دولت ضدفساد است رئیسی متشکریم
1686,نه‌تنها اردیبهشت بلکه کل سال
1687,گریه حافظ چه سنجد پیش استغنای عشقکاندر این دریا نماید هفت دریا شبنمی
1688,از گوشت دست کشیدیم از مرغ دست کشیدیم از میوه دست کشیدیم از تخم‌مرغ هم که دست کشیدیم حالا نوبت نونه که حسن اقا ۵۰ در
1689,صدری و آذری جهرمی دقیقا مثل هدایتی میمونن تنها تفاوتشون اینکه هدایتی پول فرهنگیان رو می‌دزدید و خرج تیم پیروزی می‌کرد و صدری
1690,احیانا شخصیتهای سیاسی مشارکت حداکثری در انتخابات رو بد متوجه نشدن
1691,سعید محمد دولت جوان انقلابی تا اخر ایستاده‌ایم
1692,کسخل‌تر از اونی ک برا سنگ قبر ۳۰۰ میلیون میده ندیدم
1693,حیف امتحانام حضوریه نیستم /
1694,منتظریم
1695,کشیدن نوار پایین برای من
