text,preprocess_texts,preprocess_texts_no_symboll,tokens
@bbooshveg @KachalCheshmAbi مشکل اینجاست خیلی از طرفدارای #سعید_محمد به #رئیسی و #جلیلی رای نمیدن. این خیلی برای پد… https://t.co/CV775Bv73M,مشکل اینجاست خیلی از طرفدارای  سعید محمد به  رئیسی و  جلیلی رای نمیدن این خیلی برای پد,مشکل اینجاست خیلی از طرفدارای  سعید محمد به  رئیسی و  جلیلی رای نمیدن این خیلی برای پد,"['مشکل', 'اینجاست', 'خیلی', 'از', 'طرفدارای', 'سعید', 'محمد', 'به', 'رئیسی', 'و', 'جلیلی', 'رای', 'نمیدن', 'این', 'خیلی', 'برای', 'پد']"
@engaramir1 خیخیخیخی,خیخیخیخی,خیخیخیخی,['خیخیخیخی']
"@m_feriyal اصلاحات مسلط نمیشه
اینا فریب دادن مردمه.",اصلاحات مسلط نمیشهاینا فریب دادن مردمه,اصلاحات مسلط نمیشهاینا فریب دادن مردمه,"['اصلاحات', 'مسلط', 'نمیشهاینا', 'فریب', 'دادن', 'مردمه']"
@DmtShima علی الحساب بک بده,علی الحساب بک بده,علی الحساب بک بده,"['علی', 'الحساب', 'بک', 'بده']"
"RT @FreeManking2021: حالا جر ندی،خودتو عمو هشتگ زن🤣🤣🤣
شما کصخلا می خواین قدس رو آزاد کنید😆😆😂😂
برو،غزه دیگه،با اسرائیل مبارزه کن،  بری،پیش ش…",حالا جر ندیخودتو عمو هشتگ زنشما کصخلا می خواین قدس رو آزاد کنیدبروغزه دیگهبا اسرائیل مبارزه کن بریپیش ش,حالا جر ندیخودتو عمو هشتگ زنشما کصخلا می خواین قدس رو آزاد کنیدبروغزه دیگهبا اسرائیل مبارزه کن بریپیش ش,"['حالا', 'جر', 'ندیخودتو', 'عمو', 'هشتگ', 'زنشما', 'کصخلا', 'می', 'خواین', 'قدس', 'رو', 'آزاد', 'کنیدبروغزه', 'دیگهبا', 'اسرائیل', 'مبارزه', 'کن', 'بریپیش', 'ش']"
@lagrangian_pnt @AmirHrabiei ای بابا اینم نشد که :)))))))),ای بابا اینم نشد که,ای بابا اینم نشد که,"['ای', 'بابا', 'اینم', 'نشد', 'که']"
@fateme_bayat_ هیچی,هیچی,هیچی,['هیچی']
@n_rezayereza ای بابا کاش برا منم زود برگرده 🤦🏻‍♀️,ای بابا کاش برا منم زود برگرده ‍♀️,ای بابا کاش برا منم زود برگرده ,"['ای', 'بابا', 'کاش', 'برا', 'منم', 'زود', 'برگرده']"
@dypolq2oPJoTVl7 @s_bakhtaki همه بچه ها مظلومانه کشته میشن,همه بچه ها مظلومانه کشته میشن,همه بچه ها مظلومانه کشته میشن,"['همه', 'بچه', 'ها', 'مظلومانه', 'کشته', 'میشن']"
RT @jay595677651: 😎هر روز که از سر کار میام، این دختر خانم منتظرمه و یه چیزی برا خوردن میخواد و یه جایی برا خوابیدن، اونم چون نمیتونه حقش ر…,هر روز که از سر کار میام این دختر خانم منتظرمه و یه چیزی برا خوردن میخواد و یه جایی برا خوابیدن اونم چون نمیتونه حقش ر,هر روز که از سر کار میام این دختر خانم منتظرمه و یه چیزی برا خوردن میخواد و یه جایی برا خوابیدن اونم چون نمیتونه حقش ر,"['هر', 'روز', 'که', 'از', 'سر', 'کار', 'میام', 'این', 'دختر', 'خانم', 'منتظرمه', 'و', 'یه', 'چیزی', 'برا', 'خوردن', 'میخواد', 'و', 'یه', 'جایی', 'برا', 'خوابیدن', 'اونم', 'چون', 'نمیتونه', 'حقش', 'ر']"
RT @jaakk69: تو چه میدانی پسر خار چشم دشمنان است یعنی چی :) https://t.co/vqjmL7Jx1Q,تو چه میدانی پسر خار چشم دشمنان است یعنی چی,تو چه میدانی پسر خار چشم دشمنان است یعنی چی,"['تو', 'چه', 'میدانی', 'پسر', 'خار', 'چشم', 'دشمنان', 'است', 'یعنی', 'چی']"
"آدم خندش میگیره وقتی میبینه یه عده به خاطر "" انتصابات "" پیش رو افتادن به جون هم :))))
چه تحلیلی هم میکنن الله وکیلی… https://t.co/GiJ8jtuE0y",آدم خندش میگیره وقتی میبینه یه عده به خاطر  انتصابات  پیش رو افتادن به جون هم چه تحلیلی هم میکنن الله وکیلی,آدم خندش میگیره وقتی میبینه یه عده به خاطر  انتصابات  پیش رو افتادن به جون هم چه تحلیلی هم میکنن الله وکیلی,"['آدم', 'خندش', 'میگیره', 'وقتی', 'میبینه', 'یه', 'عده', 'به', 'خاطر', 'انتصابات', 'پیش', 'رو', 'افتادن', 'به', 'جون', 'هم', 'چه', 'تحلیلی', 'هم', 'میکنن', 'الله', 'وکیلی']"
@foxeebunnie @OfficialMonstaX @TXT_members مانا باشند,مانا باشند,مانا باشند,"['مانا', 'باشند']"
@ghasedakesepid @mryamrzv3 والا مهمون درسته حبیب خداس اما هیچکس حوصلشو نداره,والا مهمون درسته حبیب خداس اما هیچکس حوصلشو نداره,والا مهمون درسته حبیب خداس اما هیچکس حوصلشو نداره,"['والا', 'مهمون', 'درسته', 'حبیب', 'خداس', 'اما', 'هیچکس', 'حوصلشو', 'نداره']"
"RT @sara_goli60: همه باید بگیم #رئیسی_متشکریم که به خواست مردم ، برای مردم و تشکیل دولت سالم و ضد مفاسد آمدی.
#رئیسی_متشکریم",همه باید بگیم  رئیسی متشکریم که به خواست مردم  برای مردم و تشکیل دولت سالم و ضد مفاسد آمدی رئیسی متشکریم,همه باید بگیم  رئیسی متشکریم که به خواست مردم  برای مردم و تشکیل دولت سالم و ضد مفاسد آمدی رئیسی متشکریم,"['همه', 'باید', 'بگیم', 'رئیسی', 'متشکریم', 'که', 'به', 'خواست', 'مردم', 'برای', 'مردم', 'و', 'تشکیل', 'دولت', 'سالم', 'و', 'ضد', 'مفاسد', 'آمدی', 'رئیسی', 'متشکریم']"
@lili_eli3 اصن یه دست باید برن رو کار قبل کار,اصن یه دست باید برن رو کار قبل کار,اصن یه دست باید برن رو کار قبل کار,"['اصن', 'یه', 'دست', 'باید', 'برن', 'رو', 'کار', 'قبل', 'کار']"
@stillamirsh @SobhanEkhtari سردار رحم کن,سردار رحم کن,سردار رحم کن,"['سردار', 'رحم', 'کن']"
"RT @roh__r: نیومدی؟
بیام برات؟
#جلیلی_بیا",نیومدیبیام برات جلیلی بیا,نیومدیبیام برات جلیلی بیا,"['نیومدیبیام', 'برات', 'جلیلی', 'بیا']"
@hamedhadian_ منتظر تایید صلاحیت بشه با شورای نگهبانش,منتظر تایید صلاحیت بشه با شورای نگهبانش,منتظر تایید صلاحیت بشه با شورای نگهبانش,"['منتظر', 'تایید', 'صلاحیت', 'بشه', 'با', 'شورای', 'نگهبانش']"
@idontcarehuuh توخوا ماينچە چيە؟؟؟,توخوا ماينچە چيە,توخوا ماينچە چيە,"['توخوا', 'ماينچە', 'چيە']"
RT @MehdiNo13703033: ازاین ناراحت نیستیم که اونیکه بایدمیشد نشدازاین ناراحتیم که چرا باعلم براینکه میدانستیم وجوداین تبهکاران اشتباهه باسما…,ازاین ناراحت نیستیم که اونیکه بایدمیشد نشدازاین ناراحتیم که چرا باعلم براینکه میدانستیم وجوداین تبهکاران اشتباهه باسما,ازاین ناراحت نیستیم که اونیکه بایدمیشد نشدازاین ناراحتیم که چرا باعلم براینکه میدانستیم وجوداین تبهکاران اشتباهه باسما,"['ازاین', 'ناراحت', 'نیستیم', 'که', 'اونیکه', 'بایدمیشد', 'نشدازاین', 'ناراحتیم', 'که', 'چرا', 'باعلم', 'براینکه', 'میدانستیم', 'وجوداین', 'تبهکاران', 'اشتباهه', 'باسما']"
"@the_riri_ میشه قبولش کنی؟؟؟؟؟؟؟
به خدا گرفتاری داریم بعضی وقتام یکم از کارای مارو بسپری بهش😔😔",میشه قبولش کنیبه خدا گرفتاری داریم بعضی وقتام یکم از کارای مارو بسپری بهش,میشه قبولش کنیبه خدا گرفتاری داریم بعضی وقتام یکم از کارای مارو بسپری بهش,"['میشه', 'قبولش', 'کنیبه', 'خدا', 'گرفتاری', 'داریم', 'بعضی', 'وقتام', 'یکم', 'از', 'کارای', 'مارو', 'بسپری', 'بهش']"
@vijok69 @payofman @millad_ab @adamak_a2 آخرین بار میخواستی بیایی که کرونا گرفتی/ یادت رفت؟,آخرین بار میخواستی بیایی که کرونا گرفتی یادت رفت,آخرین بار میخواستی بیایی که کرونا گرفتی یادت رفت,"['آخرین', 'بار', 'میخواستی', 'بیایی', 'که', 'کرونا', 'گرفتی', 'یادت', 'رفت']"
"RT @kochar_1969: این آقا اجازه بده تل آویو رو شخم میزنیم و گندم میکاریم))) ✌🏻

#المسجد_الأقصى 
#FreePalestine https://t.co/pjovL5AG0s",این آقا اجازه بده تل آویو رو شخم میزنیم و گندم میکاریم ✌ المسجد الأقصى  feepalesine,این آقا اجازه بده تل آویو رو شخم میزنیم و گندم میکاریم  المسجد الأقصى  feepalesine,"['این', 'آقا', 'اجازه', 'بده', 'تل', 'آویو', 'رو', 'شخم', 'میزنیم', 'و', 'گندم', 'میکاریم', 'المسجد', 'الأقصى', 'feepalesine']"
@venusiii20 @faribaj67 خدا نکنه بابا,خدا نکنه بابا,خدا نکنه بابا,"['خدا', 'نکنه', 'بابا']"
"@babaktak7 فقط میتونم مقابل سخن چرت وپرتت بخندم و گریه کنم
احمقایی مثل شما لایق همون #روحانی هستین

#داش_سالیم_باشیوا 
#بی_بصیرت",فقط میتونم مقابل سخن چرت وپرتت بخندم و گریه کنماحمقایی مثل شما لایق همون  روحانی هستین داش سالیم باشیوا  بی بصیرت,فقط میتونم مقابل سخن چرت وپرتت بخندم و گریه کنماحمقایی مثل شما لایق همون  روحانی هستین داش سالیم باشیوا  بی بصیرت,"['فقط', 'میتونم', 'مقابل', 'سخن', 'چرت', 'وپرتت', 'بخندم', 'و', 'گریه', 'کنماحمقایی', 'مثل', 'شما', 'لایق', 'همون', 'روحانی', 'هستین', 'داش', 'سالیم', 'باشیوا', 'بی', 'بصیرت']"
@Jkdarken ک.ری,کری,کری,['کری']
@triceratopsll عه پیجشو میدی,عه پیجشو میدی,عه پیجشو میدی,"['عه', 'پیجشو', 'میدی']"
@DamnZiamChild داره مسخره میکنه 🙂😂😂,داره مسخره میکنه,داره مسخره میکنه,"['داره', 'مسخره', 'میکنه']"
@mmolaalipour از تتلو چ خبر😂,از تتلو چ خبر,از تتلو چ خبر,"['از', 'تتلو', 'چ', 'خبر']"
@das_ist_amir شانس اوردی خیلی زیااااد,شانس اوردی خیلی زیااااد,شانس اوردی خیلی زیااااد,"['شانس', 'اوردی', 'خیلی', 'زیااااد']"
آدما به اندازه خواسته هاشون باهات مهربوننhttps://t.co/VjE9BS2aDX,آدما به اندازه خواسته هاشون باهات مهربونن,آدما به اندازه خواسته هاشون باهات مهربونن,"['آدما', 'به', 'اندازه', 'خواسته', 'هاشون', 'باهات', 'مهربونن']"
حس میکنم هنوز به اندازه کافی واسه این عکس فن گرلی نکردم😭😭😭😭😭 https://t.co/vvbYgYS3Xn,حس میکنم هنوز به اندازه کافی واسه این عکس فن گرلی نکردم,حس میکنم هنوز به اندازه کافی واسه این عکس فن گرلی نکردم,"['حس', 'میکنم', 'هنوز', 'به', 'اندازه', 'کافی', 'واسه', 'این', 'عکس', 'فن', 'گرلی', 'نکردم']"
